company	employees	revenue in million	headquarters	year	sector	EMAS III	ISO14001	ISO45001	ISO50001	ISO9001	energy consumption in MWh	gas consumption in MWh	electricty consumption in MWh	water consumption in m³	dangerous waste in t	normal waste in t	CO2 emissions in t	resources Input in t	resources Output in t
GEALAN FENSTER-SYSTEME GMBH	305	239	Oberkotzau	2019	Sanitär Heizung und Klima	X	X		X	X	7180,0	960,0	3791,0	6231,0	14,0	246,0	2880,0	1952,0	0,0
GEALAN Tanna Fenster-Systeme GmbH	526	239	Tanna	2019	Sanitär Heizung und Klima	X	X		X	X	32679,0	502,0	29670,0	19918,0	28,0	1339,0	15771,0	69314,0	0,0
ATP ALLTAPE Klebetechnik GmbH	160	62	Amt Creuzburg	2019	Verpackung	X	X		X	X	18409,0	12993,0	5476,0	5167,0		1237,0			0,0
Benecke-Kaliko Aktiengesellschaft	1073		Hannover	2019	Fahrzeugbau	X	X				99298,0	76285,0	23032,0	97226,0			32229,0	30386,0	24342,0
Benecke-Kaliko-AG Werk Eislingen	450		Eislingen	2019	Fahrzeugbau	X	X				30893,0	16806,0	14087,0	63706,0	230,0	2637,0	12341,0	12221,0	9360,0
Bischof + Klein SE & Co. KG	2160	475	Lengerich	2019	Verpackung	X	X			X	90768,0	34644,0	58887,0	20964,0	1004,0	8658,0	17750,0	49148,0	40628,0
Brauns-Heitmann GmbH & Co. KG	479		Warburg	2019	Baubranche 	X	X		X	X	7988,0	5378,0	3250,0	31638,0	127,0	1016,0	1724,0	10757,0	0,0
Ewald Dörken	800		Herdecke	2019	Baubranche 	X	X			X	46111,0	5596,0	31931,0	35891,0	565,0	1524,0	0,3	36690,0	
Coko-Werk GmbH & Co. KG	520	149	Bad Salzuflen	2019	Fahrzeugbau	X	X			X	2326,0	2224,0	12364,0	3727,0	68,0	527,0	718,0		
Druck- und Spritzgußwerk Hettich GmbH & Co. KG 	630		Frankenberg	2019	Möbel und Ladenbau/Baubranche	X				X	17881,0	1370,0		10297,0	25,0	654,0	3885,0	650,7	0,0
G&H GmbH Rothschenk	86		Baldersheim	2020	Fahrzeugbau	X	X			X	273,0			336,0	0,0	34,0	56,8		
Liveo Research PPI GmbH & Co. KG	350		Bötzingen	2019	Medizintechnik	X	X			X	36989,0	14500,0	22488,0	224922,0	131,0	474,0	20930,0		
Liveo Research SFS GmbH & Co. KG	356		Staufen	2019	Medizintechnik	X	X			X	46602,0			19048,0	71,0	363,0	26364,0	28303,0	
Adolf Föhl GmbH & Co. KG	371		Rudersberg-Necklingsberg	2019	Spritzguss und Blasform	X	X		X	X	3151,0		2544,0	1202,0	16,0	97,0	1256,0		869,0
Eco-Kunststoff GmbH	28		Neumarkt	2018	Verpackung	X				X	776,0	169,0	564,0	142,0	1,0	320,0	193,0	954,0	
Feurer febra GmbH	800	80	Brackenheim-Dürrenzimmern	2019	Verpackung	X	X					28187,0	6012,0	42720,0	0,7	180,0	16939,0		
Förster Kunststofftechnik GmbH	35		Hahnbach	2020	Spritzguss und Blasform	X	X	X		X	680,0	0,7	592,0	186,0		8,0	-27,0		
Sternplastic Hellstern GmbH	150		Villingen-Schwenningen	2020	Maschinenbau	X	X			X	3357,0	0,0	3164,0	676,0	8,0	159,0	3758,0		
Viaoptic GmbH	155		Haiterbach	2019	Verpackung	X	X				2866,0	237,0	2536,0	641,0			1153,0	147,0	
Twin-Tec Packaging GmbH	300	40	Wetzlar	2020	Verpackung	X	X			X	6189,0	2,8	5218,0	1551,0	3,5	1949,0	1979,0		
SMP DEUTSCHLAND	14000	3	Bötzingen	2019	Fahrzeugbau	X	X	X	X	X		5323630,0		112662,0					
Rehau + CO	20000	3300	Rehau	2019	Fahrzeugbau	X	X	X	X	X				402486,0	4936,0	28735,0	242781,0		506930,0
Pöppelmann Kunstoffwerk - Werkzeugbau	2500		Lohne	2019	Verpackung	X	X		X	X	108358,0			86013,0	136,0	6082,0	40512,0	67034,0
